DDX11L1	chr1	11869	14409
MIR6859-1	chr1	17369	17436
MIR1302-2	chr1	30366	30503
FAM138A	chr1	34554	36081
OR4F5	chr1	65419	71585
LOC100996442	chr1	89295	133723
MIR6859-2	chr1	187891	187958
OR4F29	chr1	450703	451697
LOC101928626	chr1	586071	827796
OR4F16	chr1	685679	686673
FAM87B	chr1	817371	819837
LINC01128	chr1	825138	868202
LINC00115	chr1	826206	827522
FAM41C	chr1	868071	876903
LINC02593	chr1	916865	921016
SAMD11	chr1	923928	944581
NOC2L	chr1	944203	959309
KLHL17	chr1	960584	965719
PLEKHN1	chr1	966482	975865
PERM1	chr1	975204	982093
HES4	chr1	998962	1000172
ISG15	chr1	1001138	1014540
AGRN	chr1	1020120	1056118
LOC100288175	chr1	1059708	1069355
RNF223	chr1	1070967	1074306
C1orf159	chr1	1081818	1116361
LINC01342	chr1	1137017	1144056
MIR200B	chr1	1167104	1167198
MIR200A	chr1	1167863	1167952
MIR429	chr1	1169005	1169087
TTLL10-AS1	chr1	1173056	1179555
TTLL10	chr1	1173884	1197935
TNFRSF18	chr1	1203508	1206592
TNFRSF4	chr1	1211340	1214153
SDF4	chr1	1216908	1232067
B3GALT6	chr1	1232237	1235041
C1QTNF12	chr1	1242446	1246722
UBE2J2	chr1	1253909	1273885
SCNN1D	chr1	1280436	1292029
ACAP3	chr1	1292390	1309609
MIR6726	chr1	1296110	1296170
PUSL1	chr1	1308597	1311677
INTS11	chr1	1311585	1324691
MIR6727	chr1	1312502	1312566
CPTP	chr1	1324756	1328896
TAS1R3	chr1	1331280	1335314
DVL1	chr1	1335276	1349418
MIR6808	chr1	1339650	1339708
MXRA8	chr1	1352689	1361777
AURKAIP1	chr1	1373730	1375495
CCNL2	chr1	1385711	1399335
MRPL20-AS1	chr1	1399520	1402046
MRPL20	chr1	1401909	1407293
ANKRD65	chr1	1418420	1421769
TMEM88B	chr1	1426128	1427787
VWA1	chr1	1434861	1442882
ATAD3C	chr1	1449689	1470163
ATAD3B	chr1	1471765	1497848
ATAD3A	chr1	1512162	1534685
TMEM240	chr1	1534778	1540624
SSU72	chr1	1541673	1574863
FNDC10	chr1	1598012	1600135
MIB2	chr1	1615415	1630610
MMP23B	chr1	1632163	1635263
CDK11B	chr1	1635227	1659012
SLC35E2B	chr1	1659529	1692795
MMP23A	chr1	1699942	1701782
CDK11A	chr1	1702379	1724357
SLC35E2A	chr1	1724838	1745999
NADK	chr1	1751232	1780457
GNB1	chr1	1785285	1891117
CALML6	chr1	1915108	1917296
TMEM52	chr1	1917590	1919279
CFAP74	chr1	1921951	2003837
GABRD	chr1	2019329	2030758
LOC105378591	chr1	2049203	2050070
PRKCZ	chr1	2050411	2185395
PRKCZ-AS1	chr1	2181794	2184389
FAAP20	chr1	2184461	2212720
SKI	chr1	2228319	2310213
MORN1	chr1	2321253	2391707
LOC100129534	chr1	2350414	2352820
RER1	chr1	2391775	2405442
PEX10	chr1	2403964	2413797
PLCH2	chr1	2425980	2505532
PANK4	chr1	2508537	2526611
HES5	chr1	2528745	2530263
TNFRSF14	chr1	2555639	2565382
LOC100996583	chr1	2581560	2584533
PRXL2B	chr1	2586491	2591469
MMEL1	chr1	2590639	2633016
TTC34	chr1	2635976	2801717
ACTRT2	chr1	3021467	3022903
PRDM16-DT	chr1	3059615	3068437
PRDM16	chr1	3069168	3438621
MIR4251	chr1	3127975	3128035
ARHGEF16	chr1	3454665	3481113
MEGF6	chr1	3487951	3611508
MIR551A	chr1	3560695	3560790
TPRG1L	chr1	3625015	3630127
WRAP73	chr1	3630767	3652761
TP73	chr1	3652516	3736201
TP73-AS1	chr1	3735511	3747373
CCDC27	chr1	3746460	3771645
SMIM1	chr1	3772761	3775982
LRRC47	chr1	3778559	3796498
CEP104	chr1	3812086	3857214
DFFB	chr1	3857267	3885429
C1orf174	chr1	3889125	3900293
LINC01134	chr1	3900352	3917225
LINC01345	chr1	3944547	3949024
LOC105376673	chr1	3976133	4012704
LINC01777	chr1	4412027	4424689
LINC01646	chr1	4571481	4594016
AJAP1	chr1	4654609	4792534
LOC105376680	chr1	4973381	4981568
LOC105376686	chr1	5478736	5493057
MIR4689	chr1	5862672	5862741
NPHP4	chr1	5862811	5992473
KCNAB2	chr1	5990927	6101193
CHD5	chr1	6101787	6180321
RPL22	chr1	6185020	6209389
LOC102724450	chr1	6204840	6205780
RNF207	chr1	6205475	6221299
ICMT	chr1	6221193	6235972
HES3	chr1	6244179	6245578
GPR153	chr1	6247353	6261098
ACOT7	chr1	6264269	6394391
HES2	chr1	6412418	6424670
ESPN	chr1	6424776	6461367
MIR4252	chr1	6429834	6429896
TNFRSF25	chr1	6460786	6466195
PLEKHG5	chr1	6466092	6520061
NOL9	chr1	6521347	6554513
TAS1R1	chr1	6555307	6579755
ZBTB48	chr1	6579994	6589280
KLHL21	chr1	6590724	6614607
PHF13	chr1	6613731	6624030
THAP3	chr1	6624866	6635586
DNAJC11	chr1	6634168	6701924
CAMTA1	chr1	6785454	7769706
LOC102725193	chr1	7382487	7389754
VAMP3	chr1	7771296	7781432
PER3	chr1	7784320	7845177
UTS2	chr1	7843083	7853512
TNFRSF9	chr1	7915894	7943165
PARK7	chr1	7954291	7985505
ERRFI1	chr1	8004404	8026309
LINC01714	chr1	8201518	8215210
SLC45A1	chr1	8317826	8344167
RERE	chr1	8352397	8848921
ENO1	chr1	8861000	8879190
MIR6728	chr1	8866502	8866590
ENO1-AS1	chr1	8878835	8879894
CA6	chr1	8945867	8975092
SLC2A7	chr1	9003300	9026345
SLC2A5	chr1	9035106	9088478
GPR157	chr1	9100305	9129102
MIR34AHG	chr1	9148011	9198906
MIR34A	chr1	9151668	9151777
LNCTAM34A	chr1	9182004	9196284
H6PD	chr1	9234775	9271337
SPSB1	chr1	9292894	9369532
LINC02606	chr1	9425094	9440564
SLC25A33	chr1	9539465	9585173
TMEM201	chr1	9588911	9614877
PIK3CD	chr1	9651731	9729114
PIK3CD-AS1	chr1	9652610	9654586
PIK3CD-AS2	chr1	9672426	9687555
CLSTN1	chr1	9729026	9824526
CTNNBIP1	chr1	9848276	9910336
LZIC	chr1	9922113	9943407
NMNAT1	chr1	9943428	9985501
MIR5697	chr1	9967381	9967458
RBP7	chr1	9997206	10016021
UBE4B	chr1	10032832	10181239
KIF1B	chr1	10210805	10381603
PGD	chr1	10398592	10420511
CENPS-CORT	chr1	10430102	10452153
CENPS	chr1	10430433	10442808
CORT	chr1	10449719	10451902
DFFA	chr1	10456522	10472529
PEX14	chr1	10472288	10630758
CASZ1	chr1	10636604	10796650
C1orf127	chr1	10946471	10982037
TARDBP	chr1	11012344	11026420
MASP2	chr1	11026523	11047239
SRM	chr1	11054584	11060020
EXOSC10	chr1	11066618	11099869
EXOSC10-AS1	chr1	11099675	11102100
MTOR	chr1	11106535	11262551
MTOR-AS1	chr1	11143898	11149537
ANGPTL7	chr1	11189355	11195981
UBIAD1	chr1	11273206	11296049
DISP3	chr1	11479155	11537551
LINC01647	chr1	11609468	11613358
FBXO2	chr1	11637018	11655785
FBXO44	chr1	11654375	11663327
FBXO6	chr1	11664200	11674354
MAD2L2	chr1	11674480	11691650
DRAXIN	chr1	11691710	11725857
AGTRAP	chr1	11736084	11754802
C1orf167	chr1	11761787	11789585
LOC102724659	chr1	11777077	11779619
MTHFR	chr1	11785723	11806920
CLCN6	chr1	11806096	11848079
NPPA	chr1	11845709	11848345
NPPB	chr1	11857464	11858945
RNU5E-1	chr1	11908152	11908271
KIAA2013	chr1	11919591	11926428
PLOD1	chr1	11934205	11975538
MFN2	chr1	11980181	12013514
MIIP	chr1	12019466	12032045
MIR6729	chr1	12029158	12029222
TNFRSF8	chr1	12063303	12144207
MIR7846	chr1	12166943	12167038
TNFRSF1B	chr1	12166991	12209228
MIR4632	chr1	12191713	12191773
VPS13D	chr1	12230030	12512047
SNORA59A	chr1	12507246	12507397
DHRS3	chr1	12567910	12618210
MIR6730	chr1	12578957	12579023
AADACL4	chr1	12644547	12667086
AADACL3	chr1	12716110	12728760
C1orf158	chr1	12746200	12763699
PRAMEF12	chr1	12774841	12777906
PRAMEF1	chr1	12791397	12796628
LINC01784	chr1	12822686	12823159
PRAMEF11	chr1	12824605	12831410
HNRNPCL1	chr1	12847408	12848725
PRAMEF2	chr1	12857086	12861909
PRAMEF4	chr1	12879212	12886201
PRAMEF10	chr1	12892896	12898270
PRAMEF7	chr1	12916610	12920482
PRAMEF6	chr1	12938472	12947580
PRAMEF27	chr1	13049476	13056491
HNRNPCL3	chr1	13060869	13062229
PRAMEF25	chr1	13068677	13077884
HNRNPCL2	chr1	13115488	13116854
PRAMEF26	chr1	13148905	13155961
HNRNPCL4	chr1	13164586	13165467
PRAMEF9	chr1	13172455	13179464
PRAMEF13	chr1	13196188	13201409
PRAMEF18	chr1	13222705	13226106
PRAMEF5	chr1	13254212	13263314
PRAMEF8	chr1	13281035	13285174
PRAMEF33	chr1	13303539	13308907
PRAMEF15	chr1	13315581	13322598
PRAMEF14	chr1	13341892	13347134
PRAMEF19	chr1	13369067	13371900
PRAMEF17	chr1	13389632	13392629
PRAMEF20	chr1	13410450	13421328
LRRC38	chr1	13474973	13514003
PDPN	chr1	13583465	13617957
PRDM2	chr1	13700198	13825079
KAZN	chr1	13892792	15118043
TMEM51-AS1	chr1	15111815	15153618
TMEM51	chr1	15152532	15220478
FHAD1	chr1	15247272	15400283
